description,lat,long,type,floor,building,outside
e,42.09267554901404,-71.26561925,Intermediary,1,20 Patriot Place,FALSE
a,42.09264483931591,-71.26628466,Intermediary,1,20 Patriot Place,FALSE
c,42.09259224231086,-71.26598637,Intermediary,1,20 Patriot Place,FALSE
Blood Draw/ Phlebotomy,42.09262595027671,-71.26599941,Location,1,20 Patriot Place,FALSE
f,42.09253927998246,-71.26623765,Intermediary,1,20 Patriot Place,FALSE
elevator 1,42.09270374997246,-71.26563074,Elevator,1,20 Patriot Place,FALSE
Cardiovascular Services,42.09266470249255,-71.26583707,Location,1,20 Patriot Place,FALSE
stairs 1,42.09269644483917,-71.26557168,Staircase,1,20 Patriot Place,FALSE
Radiology,42.09267325102748,-71.26634544,Location,1,20 Patriot Place,FALSE
parking,42.09240935244083,-71.26651698,Parking,1,20 Patriot Place,TRUE
Pharmacy,42.09270283683112,-71.26627038,Location,1,20 Patriot Place,FALSE
b,42.09268337394115,-71.26630311,Intermediary,1,20 Patriot Place,FALSE
d,42.09262776823628,-71.2658241,Intermediary,1,20 Patriot Place,FALSE
front door,42.09251371194606,-71.26636415,Intermediary,1,20 Patriot Place,FALSE
Urgent Care Center,42.09265261402209,-71.26624872,Location,1,20 Patriot Place,FALSE
Urology,42.09265612312601,-71.26588286,Location,1,20 Patriot Place,FALSE
